component,component_size,percentage,edge_count,max_possible,component_nodes
5,4,25.0,3,12,"{381, 389, 382, 383}"
13,2,50.0,1,2,"{377, 378}"
17,2,50.0,1,2,"{372, 373}"
21,4,33.33333333333333,4,12,"{368, 364, 365, 367}"
23,2,50.0,1,2,"{360, 362}"
31,2,50.0,1,2,"{352, 353}"
34,2,50.0,1,2,"{213, 349}"
36,8,12.5,7,56,"{1, 2, 3, 4, 5, 347, 222, 223}"
41,2,50.0,1,2,"{340, 341}"
43,5,30.0,6,20,"{160, 322, 162, 265, 338}"
47,4,25.0,3,12,"{305, 306, 301, 334}"
49,2,50.0,1,2,"{331, 332}"
50,2,50.0,1,2,"{329, 330}"
54,2,50.0,1,2,"{324, 325}"
61,2,50.0,1,2,"{250, 316}"
64,5,40.0,8,20,"{84, 308, 309, 311, 313}"
72,3,33.33333333333333,2,6,"{297, 229, 253}"
86,3,50.0,3,6,"{283, 165, 195}"
94,2,50.0,1,2,"{264, 275}"
101,2,50.0,1,2,"{267, 268}"
118,3,50.0,3,6,"{244, 245, 246}"
129,2,100.0,2,2,"{232, 233}"
134,2,50.0,1,2,"{225, 226}"
138,2,50.0,1,2,"{177, 219}"
139,2,50.0,1,2,"{217, 218}"
141,2,50.0,1,2,"{208, 215}"
156,6,20.0,6,30,"{197, 198, 168, 157, 189, 190}"
159,2,50.0,1,2,"{192, 193}"
173,2,50.0,1,2,"{144, 173}"
181,2,50.0,1,2,"{163, 159}"
184,2,50.0,1,2,"{155, 156}"
202,2,100.0,2,2,"{136, 109}"
220,2,50.0,1,2,"{117, 118}"
227,3,33.33333333333333,2,6,"{96, 98, 110}"
235,2,50.0,1,2,"{100, 101}"
247,2,50.0,1,2,"{77, 86}"
255,2,50.0,1,2,"{75, 76}"
258,2,50.0,1,2,"{72, 68}"
271,2,100.0,2,2,"{57, 58}"
284,2,100.0,2,2,"{43, 44}"
311,2,100.0,2,2,"{16, 14}"
