Component Size,Count - Component Size,Nodes,Small,Large,
1,55878,55878,0.996051470246667,0.00245743373705459,0.613194916928209
2,5697,11394,0.63708579210168,0.225175896504766,
3,1469,4407,,,
4,590,2360,,,
5,286,1430,,,
6,162,972,,,
7,114,798,,,
8,75,600,,,
9,55,495,,,
10,35,350,,,
11,34,374,,,
12,22,264,,,
13,16,208,,,
14,16,224,,,
15,22,330,,,
16,5,80,,,
17,9,153,,,
18,5,90,,,
19,6,114,,,
20,3,60,,,
21,8,168,,,
22,2,44,,,
23,4,92,,,
24,3,72,,,
25,4,100,,,
26,1,26,,,
27,4,108,,,
28,1,28,,,
30,3,90,,,
31,2,62,,,
32,1,32,,,
33,1,33,,,
34,3,102,,,
35,1,35,,,
37,1,37,,,
38,2,76,,,
39,2,78,,,
40,1,40,,,
41,4,164,,,
44,2,88,,,
45,1,45,,,
47,1,47,,,
49,3,147,,,
51,1,51,,,
56,2,112,,,
61,1,61,,,
63,1,63,,,
65,2,130,,,
66,1,66,,,
76,1,76,,,
78,1,78,,,
82,1,82,,,
87,1,87,,,
88,1,88,,,
111,1,111,,,
139,1,139,,,
176,1,176,,,
177,1,177,,,
200,1,200,,,
282,1,282,,,
306,1,306,,,
367,1,367,,,
450,1,450,,,
485,1,485,,,
801,1,801,,,
1268,1,1268,,,
1296,1,1296,,,
1879,1,1879,,,
